"word","category","category_reason","definition"
"ablaze","2","uncommon or archaic (low frequency)","keenly excited (especially sexually) or indicating excitement; - Bram Stoker"
"able","1","common english (recognizable)","(usually followed by `to') having the necessary means or skill or know-how or authority to do something"
"abler","2","uncommon or archaic (low frequency)","(usually followed by `to') having the necessary means or skill or know-how or authority to do something"
"ablest","2","uncommon or archaic (low frequency)","(usually followed by `to') having the necessary means or skill or know-how or authority to do something"
"abloom","2","uncommon or archaic (low frequency)","bursting into flower"
"ablution","2","uncommon or archaic (low frequency)","the ritual washing of a priest's hands or of sacred vessels"
"ablutions","2","uncommon or archaic (low frequency)","the ritual washing of a priest's hands or of sacred vessels"
"ably","2","uncommon or archaic (low frequency)","with competence; in a competent capable manner"
"abnegating","2","uncommon or archaic (low frequency)","deny oneself (something); restrain, especially from indulging in some pleasure"
"abnegation","2","uncommon or archaic (low frequency)","the denial and rejection of a doctrine or belief"
"abnormal","1","common english (recognizable)","not normal; not typical or usual or regular or conforming to a norm"
"abnormalities","2","uncommon or archaic (low frequency)","an abnormal physical condition resulting from defective genes or developmental deficiencies"
"abnormality","2","uncommon or archaic (low frequency)","an abnormal physical condition resulting from defective genes or developmental deficiencies"
"abnormally","2","uncommon or archaic (low frequency)","in an abnormal manner"
"aboard","1","common english (recognizable)","on a ship, train, plane or other vehicle"
"abode","2","uncommon or archaic (low frequency)","any address at which you dwell more than temporarily"
"abodes","2","uncommon or archaic (low frequency)","any address at which you dwell more than temporarily"
"abolish","2","uncommon or archaic (low frequency)","do away with"
"abolished","1","common english (recognizable)","do away with"
"abolishes","2","uncommon or archaic (low frequency)","do away with"
"abolishing","2","uncommon or archaic (low frequency)","do away with"
"abolishment","2","uncommon or archaic (low frequency)","the act of abolishing a system or practice or institution (especially abolishing slavery)"
"abolition","1","common english (recognizable)","the act of abolishing a system or practice or institution (especially abolishing slavery)"
"abolitionism","2","uncommon or archaic (low frequency)","the doctrine that calls for the abolition of slavery"
"abolitionist","2","uncommon or archaic (low frequency)","a reformer who favors abolishing slavery"
"abolitionists","2","uncommon or archaic (low frequency)","a reformer who favors abolishing slavery"
"abomasum","2","uncommon or archaic (low frequency)","the fourth compartment of the stomach of a ruminant; the one where digestion takes place"
"abominable","2","uncommon or archaic (low frequency)","unequivocally detestable; ; ; ; - Edmund Burke"
"abominably","2","uncommon or archaic (low frequency)","in an offensive and hateful manner"
"abominate","2","uncommon or archaic (low frequency)","find repugnant"
"abominated","2","uncommon or archaic (low frequency)","find repugnant"
"abomination","2","uncommon or archaic (low frequency)","a person who is loathsome or disgusting"
"abominations","2","uncommon or archaic (low frequency)","a person who is loathsome or disgusting"
"aboral","2","uncommon or archaic (low frequency)","opposite to or away from the mouth"
"aboriginal","1","common english (recognizable)","a dark-skinned member of a race of people living in Australia when Europeans arrived"
"aboriginals","2","uncommon or archaic (low frequency)","a dark-skinned member of a race of people living in Australia when Europeans arrived"
"aborigine","2","uncommon or archaic (low frequency)","an indigenous person who was born in a particular place"
"aborigines","2","uncommon or archaic (low frequency)","an indigenous person who was born in a particular place"
"abort","2","uncommon or archaic (low frequency)","the act of terminating a project or procedure before it is completed"
"aborted","2","uncommon or archaic (low frequency)","terminate before completion"
"abortifacient","2","uncommon or archaic (low frequency)","a drug (or other chemical agent) that causes abortion"
"aborting","2","uncommon or archaic (low frequency)","terminate before completion"
"abortion","1","common english (recognizable)","termination of pregnancy"
"abortionist","2","uncommon or archaic (low frequency)","a person (who should be a doctor) who terminates pregnancies"
"abortionists","2","uncommon or archaic (low frequency)","a person (who should be a doctor) who terminates pregnancies"
"abortions","1","common english (recognizable)","termination of pregnancy"
"abortive","2","uncommon or archaic (low frequency)","failing to accomplish an intended result"
